Martin	// User ID
7-4-2023	// Evaluation date
H_S_R3	7-4-2023	15:11:10:741	// Source file name and timestamp
100.000	// Sampling rate
54.375	// Data capture period



Sample #	IMU_Q0	IMU_Q1	IMU_Q2	IMU_Q3	Clust_Q0	Clust_Q1	Clust_Q2	Clust_Q3	New_ax_Q0	New_ax_Q1	New_ax_Q2	New_ax_Q3	
107	0.955970	0.009714	-0.001135	-0.293302	0.648736	-0.013477	-0.760610	-0.020796	-0.130100	-0.114296	0.698593	-0.694246	
108	0.955969	0.009705	-0.001140	-0.293305	0.648677	-0.013595	-0.760660	-0.020732	-0.130097	-0.114195	0.698520	-0.694337	
109	0.955972	0.009698	-0.001158	-0.293295	0.648738	-0.013355	-0.760610	-0.020793	-0.130024	-0.114372	0.698636	-0.694205	
110	0.955992	0.009696	-0.001175	-0.293230	0.648779	-0.013368	-0.760575	-0.020806	-0.130074	-0.114397	0.698633	-0.694195	
111	0.956018	0.009697	-0.001178	-0.293147	0.648709	-0.013427	-0.760633	-0.020804	-0.130048	-0.114298	0.698621	-0.694228	
112	0.956020	0.009707	-0.001184	-0.293137	0.648722	-0.013598	-0.760621	-0.020740	-0.130143	-0.114231	0.698517	-0.694326	
113	0.956037	0.009735	-0.001165	-0.293083	0.648681	-0.013719	-0.760655	-0.020708	-0.130169	-0.114133	0.698459	-0.694395	
114	0.956061	0.009761	-0.001135	-0.293003	0.648711	-0.013380	-0.760633	-0.020774	-0.130009	-0.114339	0.698619	-0.694230	
115	0.956060	0.009764	-0.001127	-0.293007	0.648673	-0.013517	-0.760665	-0.020739	-0.130047	-0.114234	0.698554	-0.694306	
116	0.956065	0.009771	-0.001106	-0.292989	0.648685	-0.013662	-0.760651	-0.020786	-0.130165	-0.114143	0.698526	-0.694326	
117	0.956074	0.009778	-0.001087	-0.292961	0.648751	-0.013294	-0.760600	-0.020793	-0.129998	-0.114420	0.698657	-0.694181	
118	0.956079	0.009805	-0.001094	-0.292942	0.648657	-0.013758	-0.760673	-0.020793	-0.130202	-0.114057	0.698500	-0.694360	
119	0.956092	0.009867	-0.001117	-0.292899	0.648705	-0.013399	-0.760638	-0.020794	-0.130022	-0.114314	0.698625	-0.694226	
120	0.956101	0.009883	-0.001122	-0.292870	0.648704	-0.013537	-0.760637	-0.020754	-0.130093	-0.114246	0.698550	-0.694299	
121	0.956102	0.009876	-0.001144	-0.292866	0.648699	-0.013592	-0.760638	-0.020829	-0.130151	-0.114182	0.698576	-0.694272	
122	0.956102	0.009880	-0.001175	-0.292866	0.648730	-0.013395	-0.760615	-0.020856	-0.130066	-0.114318	0.698660	-0.694182	
123	0.956102	0.009883	-0.001162	-0.292864	0.648642	-0.013687	-0.760686	-0.020797	-0.130147	-0.114085	0.698531	-0.694335	
124	0.956092	0.009906	-0.001171	-0.292897	0.648707	-0.013386	-0.760637	-0.020765	-0.130006	-0.114334	0.698612	-0.694239	
125	0.956082	0.009914	-0.001190	-0.292928	0.648700	-0.013382	-0.760643	-0.020783	-0.130003	-0.114324	0.698626	-0.694227	
126	0.956087	0.009892	-0.001181	-0.292913	0.648697	-0.013607	-0.760641	-0.020790	-0.130144	-0.114185	0.698547	-0.694302	
127	0.956098	0.009884	-0.001162	-0.292877	0.648669	-0.013683	-0.760666	-0.020710	-0.130137	-0.114142	0.698476	-0.694383	
128	0.956098	0.009872	-0.001153	-0.292880	0.648740	-0.013413	-0.760608	-0.020791	-0.130061	-0.114340	0.698613	-0.694226	
129	0.956092	0.009856	-0.001152	-0.292899	0.648659	-0.013674	-0.760673	-0.020773	-0.130144	-0.114116	0.698518	-0.694343	
130	0.956096	0.009845	-0.001150	-0.292886	0.648765	-0.013358	-0.760587	-0.020793	-0.130051	-0.114394	0.698631	-0.694202	
131	0.956106	0.009832	-0.001153	-0.292853	0.648704	-0.013440	-0.760638	-0.020786	-0.130045	-0.114292	0.698605	-0.694245	
132	0.956105	0.009827	-0.001149	-0.292856	0.648734	-0.013325	-0.760612	-0.020866	-0.130029	-0.114360	0.698691	-0.694150	
133	0.956098	0.009828	-0.001149	-0.292882	0.648658	-0.013667	-0.760676	-0.020700	-0.130113	-0.114145	0.698477	-0.694385	
134	0.956098	0.009826	-0.001162	-0.292879	0.648737	-0.013359	-0.760611	-0.020803	-0.130029	-0.114365	0.698641	-0.694201	
135	0.956108	0.009818	-0.001158	-0.292846	0.648688	-0.013655	-0.760649	-0.020733	-0.130145	-0.114169	0.698497	-0.694355	
136	0.956116	0.009797	-0.001125	-0.292821	0.648771	-0.013350	-0.760582	-0.020820	-0.130061	-0.114395	0.698649	-0.694182	
137	0.956114	0.009782	-0.001092	-0.292829	0.648727	-0.013394	-0.760620	-0.020765	-0.130029	-0.114348	0.698606	-0.694238	
138	0.956116	0.009790	-0.001087	-0.292823	0.648721	-0.013373	-0.760624	-0.020806	-0.130025	-0.114341	0.698639	-0.694207	
139	0.956151	0.009796	-0.001086	-0.292710	0.648658	-0.013672	-0.760675	-0.020729	-0.130126	-0.114132	0.698493	-0.694369	
140	0.956169	0.009786	-0.001098	-0.292648	0.648739	-0.013375	-0.760608	-0.020812	-0.130046	-0.114354	0.698640	-0.694200	
141	0.956159	0.009783	-0.001123	-0.292682	0.648777	-0.013446	-0.760576	-0.020799	-0.130119	-0.114351	0.698600	-0.694227	
142	0.956146	0.009799	-0.001141	-0.292725	0.648747	-0.013406	-0.760601	-0.020848	-0.130084	-0.114330	0.698649	-0.694188	
143	0.956114	0.009782	-0.001135	-0.292828	0.648693	-0.013572	-0.760646	-0.020742	-0.130101	-0.114220	0.698532	-0.694320	
144	0.956105	0.009770	-0.001120	-0.292859	0.648746	-0.013313	-0.760604	-0.020801	-0.130009	-0.114402	0.698655	-0.694184	
145	0.956116	0.009791	-0.001106	-0.292823	0.648720	-0.013437	-0.760625	-0.020756	-0.130046	-0.114319	0.698586	-0.694260	
146	0.956102	0.009816	-0.001090	-0.292867	0.648574	-0.013173	-0.760745	-0.021109	-0.129878	-0.114217	0.698917	-0.693975	
147	0.956093	0.009814	-0.001094	-0.292895	0.648576	-0.013413	-0.760738	-0.021144	-0.130042	-0.114064	0.698850	-0.694037	
148	0.956096	0.009796	-0.001100	-0.292889	0.648754	-0.013544	-0.760583	-0.021183	-0.130300	-0.114137	0.698799	-0.694028	
149	0.956099	0.009787	-0.001095	-0.292879	0.648764	-0.013245	-0.760583	-0.021049	-0.130073	-0.114371	0.698826	-0.694005	
150	0.956103	0.009798	-0.001094	-0.292866	0.648783	-0.013669	-0.760563	-0.020915	-0.130306	-0.114184	0.698587	-0.694232	
151	0.956102	0.009809	-0.001094	-0.292867	0.648618	-0.013335	-0.760707	-0.021033	-0.129991	-0.114188	0.698806	-0.694071	
152	0.956102	0.009833	-0.001083	-0.292868	0.648582	-0.012833	-0.760760	-0.020516	-0.129456	-0.114635	0.698684	-0.694220	
153	0.956111	0.009851	-0.001082	-0.292836	0.648552	-0.013190	-0.760770	-0.020880	-0.129785	-0.114267	0.698777	-0.694125	
154	0.956131	0.009820	-0.001113	-0.292773	0.648577	-0.013153	-0.760750	-0.020856	-0.129775	-0.114321	0.698772	-0.694123	
155	0.956130	0.009810	-0.001103	-0.292776	0.648548	-0.013256	-0.760772	-0.020879	-0.129821	-0.114224	0.698752	-0.694150	
156	0.956106	0.009830	-0.001076	-0.292855	0.648553	-0.013186	-0.760771	-0.020815	-0.129759	-0.114293	0.698739	-0.694164	
157	0.956077	0.009840	-0.001074	-0.292949	0.648490	-0.013500	-0.760822	-0.020714	-0.129861	-0.114084	0.698572	-0.694347	
158	0.956058	0.009834	-0.001060	-0.293010	0.648549	-0.013341	-0.760771	-0.020825	-0.129856	-0.114195	0.698688	-0.694213	
159	0.956060	0.009835	-0.001051	-0.293003	0.648555	-0.013207	-0.760768	-0.020828	-0.129779	-0.114278	0.698739	-0.694163	
160	0.956080	0.009843	-0.001046	-0.292939	0.648467	-0.013534	-0.760837	-0.020827	-0.129903	-0.114004	0.698631	-0.694293	
161	0.956094	0.009846	-0.001038	-0.292891	0.648552	-0.013226	-0.760770	-0.020830	-0.129788	-0.114263	0.698734	-0.694169	
162	0.956077	0.009846	-0.001052	-0.292948	0.648551	-0.013250	-0.760769	-0.020882	-0.129822	-0.114230	0.698756	-0.694146	
163	0.956053	0.009843	-0.001067	-0.293026	0.648543	-0.013183	-0.760778	-0.020844	-0.129758	-0.114276	0.698759	-0.694147	
164	0.956043	0.009833	-0.001075	-0.293061	0.648445	-0.014049	-0.760851	-0.020668	-0.130146	-0.113733	0.698350	-0.694575	
165	0.956041	0.009824	-0.001087	-0.293068	0.648520	-0.013359	-0.760795	-0.020847	-0.129849	-0.114149	0.698699	-0.694211	
166	0.956036	0.009827	-0.001099	-0.293083	0.648621	-0.013101	-0.760713	-0.020848	-0.129780	-0.114395	0.698780	-0.694102	
167	0.956036	0.009835	-0.001103	-0.293083	0.648507	-0.013362	-0.760808	-0.020780	-0.129814	-0.114158	0.698660	-0.694255	
168	0.956034	0.009840	-0.001099	-0.293089	0.648647	-0.013142	-0.760689	-0.020890	-0.129844	-0.114380	0.698786	-0.694086	
169	0.956022	0.009844	-0.001094	-0.293128	0.648556	-0.013085	-0.760768	-0.020890	-0.129726	-0.114330	0.698821	-0.694082	
170	0.956023	0.009847	-0.001090	-0.293126	0.648558	-0.013423	-0.760762	-0.020819	-0.129913	-0.114156	0.698653	-0.694244	
171	0.956023	0.009842	-0.001099	-0.293125	0.648611	-0.013047	-0.760722	-0.020877	-0.129748	-0.114408	0.698818	-0.694067	
172	0.956015	0.009837	-0.001107	-0.293150	0.648695	-0.013191	-0.760648	-0.020846	-0.129903	-0.114411	0.698735	-0.694122	
173	0.956020	0.009846	-0.001104	-0.293133	0.648659	-0.013119	-0.760680	-0.020858	-0.129829	-0.114416	0.698773	-0.694096	
174	0.956054	0.009851	-0.001126	-0.293023	0.648636	-0.013214	-0.760697	-0.020897	-0.129882	-0.114325	0.698765	-0.694109	
175	0.956083	0.009847	-0.001139	-0.292929	0.648579	-0.013264	-0.760747	-0.020830	-0.129837	-0.114266	0.698716	-0.694177	
176	0.956093	0.009845	-0.001132	-0.292897	0.648596	-0.013308	-0.760730	-0.020882	-0.129899	-0.114237	0.698728	-0.694158	
177	0.956102	0.009850	-0.001145	-0.292866	0.648627	-0.013486	-0.760701	-0.020874	-0.130035	-0.114163	0.698653	-0.694220	
178	0.956091	0.009814	-0.001150	-0.292903	0.648253	-0.013347	-0.761025	-0.020765	-0.129570	-0.113939	0.698695	-0.694302	
179	0.956083	0.009786	-0.001151	-0.292932	0.648500	-0.013407	-0.760806	-0.021049	-0.129935	-0.114031	0.698806	-0.694106	
180	0.956106	0.009797	-0.001152	-0.292855	0.648649	-0.013688	-0.760674	-0.021059	-0.130249	-0.113998	0.698687	-0.694173	
181	0.956146	0.009796	-0.001136	-0.292726	0.648610	-0.013545	-0.760707	-0.021101	-0.130140	-0.114033	0.698770	-0.694104	
182	0.956156	0.009786	-0.001137	-0.292691	0.648884	-0.013649	-0.760487	-0.020574	-0.130260	-0.114409	0.698374	-0.694418	
183	0.956142	0.009794	-0.001161	-0.292738	0.648870	-0.013371	-0.760497	-0.020797	-0.130156	-0.114483	0.698612	-0.694186	
184	0.956128	0.009819	-0.001185	-0.292784	0.648723	-0.013665	-0.760611	-0.021027	-0.130290	-0.114092	0.698665	-0.694172	
185	0.956115	0.009827	-0.001187	-0.292825	0.648802	-0.013390	-0.760552	-0.020919	-0.130151	-0.114366	0.698689	-0.694129	
186	0.956091	0.009829	-0.001179	-0.292902	0.648758	-0.013503	-0.760591	-0.020773	-0.130128	-0.114309	0.698567	-0.694265	
187	0.956088	0.009825	-0.001181	-0.292913	0.648797	-0.013487	-0.760559	-0.020770	-0.130152	-0.114355	0.698564	-0.694256	
188	0.956125	0.009813	-0.001192	-0.292793	0.648791	-0.013395	-0.760563	-0.020825	-0.130110	-0.114386	0.698632	-0.694190	
