Test Name:,Pendulum Test 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Rate:,74,Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Static/Acceleration/X,Static/Acceleration/Y,Static/Acceleration/Z,Static/Angular Velocity/X,Static/Angular Velocity/Y,Static/Angular Velocity/Z,Static/Magnetic Field/X,Static/Magnetic Field/Y,Static/Magnetic Field/Z,Static/Orientation/Scalar,Static/Orientation/X,Static/Orientation/Y,Static/Orientation/Z,Static/Temperature/Scalar,Static/Pressure/Scalar,Upper/Acceleration/X,Upper/Acceleration/Y,Upper/Acceleration/Z,Upper/Angular Velocity/X,Upper/Angular Velocity/Y,Upper/Angular Velocity/Z,Upper/Magnetic Field/X,Upper/Magnetic Field/Y,Upper/Magnetic Field/Z,Upper/Orientation/Scalar,Upper/Orientation/X,Upper/Orientation/Y,Upper/Orientation/Z,Upper/Temperature/Scalar,Upper/Pressure/Scalar,Middle/Acceleration/X,Middle/Acceleration/Y,Middle/Acceleration/Z,Middle/Angular Velocity/X,Middle/Angular Velocity/Y,Middle/Angular Velocity/Z,Middle/Magnetic Field/X,Middle/Magnetic Field/Y,Middle/Magnetic Field/Z,Middle/Orientation/Scalar,Middle/Orientation/X,Middle/Orientation/Y,Middle/Orientation/Z,Middle/Temperature/Scalar,Middle/Pressure/Scalar,Lower/Acceleration/X,Lower/Acceleration/Y,Lower/Acceleration/Z,Lower/Angular Velocity/X,Lower/Angular Velocity/Y,Lower/Angular Velocity/Z,Lower/Magnetic Field/X,Lower/Magnetic Field/Y,Lower/Magnetic Field/Z,Lower/Orientation/Scalar,Lower/Orientation/X,Lower/Orientation/Y,Lower/Orientation/Z,Lower/Temperature/Scalar,Loewr/Pressure/Scalar
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.003852,-0.408245,0.912853,0.004643,1,1,1,1,1,1,1,1,1,1,1,0.531548,-0.104956,-0.489518,0.683238,1,1,1,1,1,1,1,1,1,1,1,0.002296,0.31078,0.012793,0.950393,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.003872,-0.408398,0.912784,0.004670,1,1,1,1,1,1,1,1,1,1,1,0.531852,-0.09247,-0.48926,0.684987,1,1,1,1,1,1,1,1,1,1,1,-0.00604,0.319234,0.009571,0.947608,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.003906,-0.408888,0.912564,0.004719,1,1,1,1,1,1,1,1,1,1,1,0.518872,-0.088783,-0.490017,0.694819,1,1,1,1,1,1,1,1,1,1,1,-0.020037,0.315914,0.018042,0.948405,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.003978,-0.409509,0.912285,0.004703,1,1,1,1,1,1,1,1,1,1,1,0.531963,-0.108103,-0.487522,0.68385,1,1,1,1,1,1,1,1,1,1,1,0.004954,0.310011,0.015389,0.950595,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004079,-0.409970,0.912079,0.004538,1,1,1,1,1,1,1,1,1,1,1,0.533477,-0.087743,-0.488929,0.684581,1,1,1,1,1,1,1,1,1,1,1,-0.007825,0.323158,0.007352,0.946284,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004201,-0.410886,0.911667,0.004243,1,1,1,1,1,1,1,1,1,1,1,0.528479,-0.094281,-0.481559,0.692764,1,1,1,1,1,1,1,1,1,1,1,-0.007347,0.321052,0.020919,0.946802,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004244,-0.411704,0.911299,0.004053,1,1,1,1,1,1,1,1,1,1,1,0.528247,-0.092882,-0.478782,0.695051,1,1,1,1,1,1,1,1,1,1,1,-0.008346,0.323436,0.023657,0.945917,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004257,-0.412574,0.910906,0.003944,1,1,1,1,1,1,1,1,1,1,1,0.530244,-0.090682,-0.47721,0.694902,1,1,1,1,1,1,1,1,1,1,1,-0.008,0.326567,0.02314,0.944857,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004377,-0.414123,0.910203,0.003708,1,1,1,1,1,1,1,1,1,1,1,0.533237,-0.089287,-0.476247,0.693451,1,1,1,1,1,1,1,1,1,1,1,-0.006256,0.329233,0.021399,0.943985,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004500,-0.415130,0.909744,0.003487,1,1,1,1,1,1,1,1,1,1,1,0.533481,-0.082458,-0.473743,0.695821,1,1,1,1,1,1,1,1,1,1,1,-0.010548,0.335171,0.021962,0.941842,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004645,-0.416632,0.909058,0.003145,1,1,1,1,1,1,1,1,1,1,1,0.543014,-0.110193,-0.47691,0.682312,1,1,1,1,1,1,1,1,1,1,1,0.01682,0.319075,0.018273,0.947404,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004809,-0.418712,0.908102,0.002753,1,1,1,1,1,1,1,1,1,1,1,0.537301,-0.082911,-0.470543,0.694998,1,1,1,1,1,1,1,1,1,1,1,-0.006658,0.338215,0.022391,0.940779,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004890,-0.420088,0.907467,0.002588,1,1,1,1,1,1,1,1,1,1,1,0.538796,-0.07988,-0.468104,0.695842,1,1,1,1,1,1,1,1,1,1,1,-0.007237,0.342142,0.022899,0.939341,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004904,-0.422956,0.906134,0.002268,1,1,1,1,1,1,1,1,1,1,1,0.541199,-0.075993,-0.466241,0.695664,1,1,1,1,1,1,1,1,1,1,1,-0.007624,0.346659,0.021822,0.937706,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004912,-0.426905,0.904281,0.001913,1,1,1,1,1,1,1,1,1,1,1,0.544401,-0.07341,-0.464388,0.694681,1,1,1,1,1,1,1,1,1,1,1,-0.006406,0.350642,0.020442,0.936265,1,1
