IMU_Q0,IMU_Q1,IMU_Q2,IMU_Q3,OpTr_Q0, OpTr_Q1, OpTr_Q2, OpTr_Q3
0.041271,0.891083,-0.450713,0.033686,0.795017,0.292708,-0.441877,-0.294984
0.041323,0.893576,-0.445833,0.03251,0.798517,0.287561,-0.437365,-0.297306
0.041355,0.895313,-0.442404,0.03149,0.795208,0.311185,-0.42825,-0.295651
0.04141,0.898745,-0.435513,0.029691,0.798491,0.307862,-0.423139,-0.297634
0.041451,0.900861,-0.431189,0.028583,0.801316,0.305033,-0.418519,-0.299482
0.041497,0.903037,-0.426686,0.027369,0.804427,0.302603,-0.412655,-0.301737
0.041538,0.907053,-0.418214,0.025205,0.807339,0.299387,-0.407766,-0.303805
0.041472,0.910188,-0.411444,0.023687,0.810446,0.295777,-0.40277,-0.305728
0.041367,0.912071,-0.407311,0.022862,0.813302,0.294743,-0.395997,-0.307982
0.041278,0.914708,-0.401425,0.021759,0.814624,0.300649,-0.387122,-0.310057
0.041234,0.918256,-0.393324,0.020254,0.818137,0.295524,-0.382076,-0.311987
0.041288,0.920086,-0.38907,0.019282,0.821403,0.292279,-0.375501,-0.314434
0.041355,0.922907,-0.382411,0.017416,0.824554,0.288553,-0.369595,-0.316618
0.041318,0.92598,-0.375004,0.015302,0.828202,0.285246,-0.362856,-0.317886
0.041084,0.927586,-0.371091,0.013998,0.831197,0.280232,-0.357143,-0.320983
0.040615,0.930896,-0.362846,0.011581,0.834454,0.275408,-0.35139,-0.323051
0.040274,0.933496,-0.356195,0.009871,0.837789,0.270224,-0.345623,-0.325012
0.040176,0.935636,-0.350577,0.008697,0.841401,0.264283,-0.339299,-0.327225
0.040112,0.939293,-0.340718,0.006365,0.844722,0.25817,-0.333583,-0.329416
0.040024,0.941231,-0.335362,0.004786,0.848482,0.251288,-0.327108,-0.331562
0.039741,0.943719,-0.328359,0.002146,0.852178,0.244073,-0.320639,-0.333784
0.039349,0.946939,-0.319006,-0.001317,0.855315,0.236439,-0.315764,-0.335896
0.038989,0.948611,-0.314028,-0.003591,0.860151,0.223602,-0.309898,-0.337796
0.038211,0.951739,-0.304429,-0.008062,0.871074,0.178233,-0.311264,-0.335526
0.037537,0.954396,-0.295945,-0.012109,0.871209,0.186996,-0.301746,-0.339081
0.037061,0.956167,-0.29006,-0.015707,0.877051,0.166843,-0.296866,-0.338845
0.036067,0.959731,-0.277616,-0.023551,0.884531,0.135732,-0.292742,-0.336873
0.034887,0.962761,-0.266111,-0.032684,0.889293,0.119737,-0.285698,-0.336448
0.033813,0.964426,-0.259193,-0.039597,0.888484,0.137668,-0.273426,-0.341881
0.032098,0.966163,-0.251468,-0.047649,0.894034,0.118522,-0.266293,-0.340211
0.029047,0.968749,-0.23845,-0.0619,0.902111,0.077865,-0.261911,-0.333969
0.026826,0.970169,-0.229969,-0.071941,0.904982,0.066774,-0.257558,-0.331983
0.023218,0.971718,-0.219447,-0.084123,0.914352,0.088131,-0.223817,-0.325727
0.017547,0.973657,-0.20344,-0.101514,0.916677,0.078171,-0.226996,-0.319476
0.013811,0.974414,-0.195161,-0.110675,0.919618,0.066707,-0.223641,-0.315969
0.007281,0.97518,-0.181704,-0.126349,0.92244,0.060594,-0.219191,-0.31207
0.000658,0.975453,-0.167924,-0.142489,0.917761,0.029703,-0.235326,-0.318519
-0.003091,0.975271,-0.162555,-0.149739,0.918381,0.017469,-0.236493,-0.31677
-0.010462,0.974649,-0.151946,-0.163929,0.919614,0.007375,-0.235997,-0.313945
-0.015501,0.973985,-0.145204,-0.173311,0.9201,-0.004611,-0.238,-0.311047
-0.018972,0.973298,-0.14228,-0.179155,0.926487,0.000399,-0.226128,-0.300812
-0.025083,0.971923,-0.135709,-0.1906,0.929951,-0.003031,-0.221294,-0.293617
-0.027882,0.971068,-0.132941,-0.196431,0.930387,-0.015717,-0.224557,-0.289322
-0.031693,0.96953,-0.129896,-0.20529,0.930883,-0.02816,-0.228219,-0.283867
-0.038023,0.966762,-0.12503,-0.219776,0.931486,-0.039076,-0.231577,-0.27781
-0.042554,0.964335,-0.122833,-0.230581,0.931746,-0.050717,-0.236223,-0.271065
-0.045547,0.96264,-0.121962,-0.237452,0.931524,-0.062814,-0.241854,-0.264242
-0.050874,0.959571,-0.120933,-0.249038,0.931014,-0.07466,-0.247706,-0.25745
-0.05711,0.955798,-0.120151,-0.262225,0.929817,-0.087291,-0.254399,-0.251201
-0.061167,0.95349,-0.120496,-0.269452,0.92775,-0.100726,-0.262041,-0.245903
-0.069027,0.948783,-0.121753,-0.283253,0.925268,-0.114216,-0.269314,-0.241461
-0.075694,0.944442,-0.123229,-0.295168,0.922686,-0.126625,-0.276242,-0.237291
-0.080147,0.941052,-0.125596,-0.303699,0.920856,-0.141244,-0.278404,-0.233591
-0.088363,0.934277,-0.129499,-0.320249,0.918477,-0.153115,-0.283753,-0.228998
-0.09278,0.929919,-0.13189,-0.330541,0.916064,-0.165188,-0.28802,-0.224909
-0.096186,0.924959,-0.134657,-0.342164,0.912612,-0.17852,-0.295083,-0.219538
-0.101301,0.917504,-0.138365,-0.358872,0.909382,-0.190988,-0.301146,-0.214148
-0.103116,0.913856,-0.139865,-0.36699,0.902561,-0.207309,-0.316595,-0.205365
-0.106496,0.907284,-0.14239,-0.381086,0.898483,-0.217556,-0.324065,-0.200948
-0.110278,0.900464,-0.145012,-0.394949,0.893715,-0.228097,-0.332199,-0.197202
-0.112498,0.896667,-0.146793,-0.402235,0.889417,-0.237463,-0.339483,-0.193132
-0.116985,0.888527,-0.15081,-0.417253,0.884343,-0.247023,-0.348277,-0.188734
-0.119917,0.882912,-0.15409,-0.427029,0.879494,-0.256609,-0.356191,-0.183766
-0.122013,0.877887,-0.15805,-0.435267,0.874745,-0.264284,-0.364237,-0.179743
-0.12573,0.867876,-0.164856,-0.451459,0.869121,-0.272585,-0.373235,-0.176129
-0.128063,0.859738,-0.170636,-0.464049,0.865846,-0.28092,-0.378815,-0.167017
-0.129309,0.85508,-0.174211,-0.470932,0.860339,-0.289247,-0.387633,-0.160915
-0.13132,0.849069,-0.17889,-0.479421,0.853802,-0.296562,-0.398076,-0.156872
-0.134055,0.840347,-0.18569,-0.491299,0.846691,-0.303164,-0.409554,-0.153204
-0.135402,0.835766,-0.189485,-0.497259,0.840322,-0.30926,-0.419964,-0.147806
-0.136958,0.828949,-0.19547,-0.505853,0.828383,-0.305235,-0.442313,-0.158026
-0.138534,0.820467,-0.202876,-0.51623,0.818151,-0.304016,-0.460262,-0.162361
-0.138584,0.81582,-0.208022,-0.521505,0.810429,-0.308808,-0.472053,-0.158141
-0.138601,0.806489,-0.218643,-0.531573,0.804753,-0.307957,-0.483026,-0.15563
-0.138625,0.798726,-0.227609,-0.539466,0.797941,-0.309664,-0.493588,-0.154174
-0.138244,0.793121,-0.235605,-0.544377,0.789867,-0.312731,-0.504945,-0.152774
-0.137626,0.782245,-0.250004,-0.553768,0.781884,-0.314984,-0.516415,-0.150858
-0.137165,0.775844,-0.258341,-0.559036,0.774501,-0.314542,-0.527671,-0.150915
-0.136246,0.768296,-0.268123,-0.565047,0.767044,-0.315606,-0.538344,-0.149073
-0.13486,0.757729,-0.281275,-0.573194,0.75827,-0.317666,-0.550253,-0.14607
-0.133632,0.753118,-0.287492,-0.576466,0.751592,-0.31668,-0.559499,-0.147596
-0.130972,0.74466,-0.299272,-0.582043,0.745192,-0.317255,-0.567726,-0.147394
-0.128381,0.736546,-0.310462,-0.587061,0.737929,-0.315336,-0.578159,-0.147501
-0.126126,0.7323,-0.317335,-0.589182,0.73255,-0.313328,-0.585589,-0.149271
-0.121465,0.722735,-0.331766,-0.594004,0.726414,-0.310606,-0.594225,-0.150804
-0.116806,0.713931,-0.344872,-0.598107,0.719969,-0.306476,-0.604003,-0.151323
-0.11386,0.709326,-0.351963,-0.60002,0.713157,-0.303852,-0.613453,-0.150852
-0.110871,0.705175,-0.35869,-0.601488,0.714101,-0.289708,-0.617861,-0.156134
-0.105502,0.698608,-0.370058,-0.603226,0.709484,-0.290313,-0.622906,-0.156009
-0.101775,0.694821,-0.377449,-0.603662,0.706089,-0.287182,-0.628579,-0.154443
-0.097624,0.691638,-0.3853,-0.603042,0.697216,-0.287725,-0.63974,-0.147775
-0.091197,0.685994,-0.397899,-0.602314,0.689906,-0.283344,-0.650117,-0.145238
-0.08832,0.683318,-0.404456,-0.601415,0.682795,-0.279959,-0.659018,-0.145291
-0.084641,0.679548,-0.414318,-0.5995,0.677298,-0.275331,-0.666754,-0.144569
-0.08047,0.675077,-0.425275,-0.597449,0.672228,-0.271589,-0.673358,-0.144702
-0.078881,0.672945,-0.430734,-0.596154,0.666853,-0.267522,-0.680132,-0.145463
-0.075419,0.668274,-0.442177,-0.593472,0.661057,-0.263103,-0.687269,-0.146432
-0.072749,0.664518,-0.45106,-0.591335,0.655372,-0.258468,-0.69427,-0.147209
-0.070838,0.661635,-0.457585,-0.589785,0.650383,-0.253048,-0.700801,-0.147808
-0.066958,0.65633,-0.469105,-0.587109,0.64399,-0.247387,-0.708321,-0.149525
-0.064577,0.653607,-0.474856,-0.585789,0.635918,-0.243547,-0.716661,-0.150632
-0.060877,0.650148,-0.482134,-0.584088,0.637732,-0.218729,-0.72209,-0.155052
-0.054704,0.644119,-0.494585,-0.580959,0.634183,-0.206713,-0.72821,-0.157455
-0.049649,0.639519,-0.503939,-0.578451,0.622838,-0.201194,-0.738382,-0.162436
-0.046391,0.636625,-0.509815,-0.576763,0.599442,-0.200774,-0.754481,-0.176401
