IMU_Q0,IMU_Q1,IMU_Q2,IMU_Q3,Opt_Q0,Opt_Q1,Opt_Q2,Opt_Q3
-0.586064,-0.379244,0.31821,0.64144,0.757025,0.326526,-0.49769,-0.269443
-0.586131,-0.378976,0.318051,0.641616,0.757515,0.326128,-0.497036,-0.269752
-0.586323,-0.378358,0.317824,0.641918,0.757874,0.326255,-0.496278,-0.269986
-0.58648,-0.377791,0.317631,0.642204,0.758558,0.325866,-0.495253,-0.270418
-0.586679,-0.377275,0.317282,0.642498,0.759388,0.325092,-0.494239,-0.270874
-0.587178,-0.376296,0.316463,0.64302,0.760062,0.324549,-0.493267,-0.271405
-0.587392,-0.375645,0.316003,0.643431,0.760857,0.324006,-0.492046,-0.272043
-0.587615,-0.374964,0.315503,0.64387,0.761642,0.323006,-0.491068,-0.2728
-0.588034,-0.37406,0.31475,0.644382,0.762065,0.322354,-0.490511,-0.273394
-0.588187,-0.373602,0.314441,0.644659,0.762301,0.321668,-0.49039,-0.273759
-0.588605,-0.372703,0.313744,0.645137,0.762288,0.321235,-0.490595,-0.273938
-0.589079,-0.371645,0.312988,0.645681,0.762452,0.320772,-0.490683,-0.273867
-0.589388,-0.370683,0.312559,0.64616,0.762737,0.320222,-0.490523,-0.274004
-0.590005,-0.36903,0.311727,0.646944,0.763166,0.319985,-0.489826,-0.274333
-0.590307,-0.36813,0.311279,0.647398,0.763571,0.31952,-0.489319,-0.274652
-0.590284,-0.367703,0.311343,0.64763,0.763964,0.319357,-0.488674,-0.274895
-0.590347,-0.366894,0.311431,0.64799,0.764186,0.319095,-0.488404,-0.275062
-0.590393,-0.366591,0.311564,0.648054,0.764526,0.318855,-0.487984,-0.275143
-0.590546,-0.366063,0.311577,0.648208,0.765032,0.31831,-0.487528,-0.275175
-0.590793,-0.365172,0.311325,0.648606,0.765749,0.317722,-0.486531,-0.275626
-0.590964,-0.364605,0.310978,0.648936,0.766518,0.317336,-0.485249,-0.27619
-0.591064,-0.364324,0.310861,0.649059,0.76736,0.316924,-0.483894,-0.276704
-0.591271,-0.363832,0.310693,0.649226,0.768149,0.316687,-0.482491,-0.277233
-0.591569,-0.363187,0.310359,0.649476,0.769495,0.315696,-0.480559,-0.277986
-0.591914,-0.362522,0.309854,0.649774,0.771419,0.314297,-0.477686,-0.279186
-0.592534,-0.36121,0.308794,0.650444,0.773406,0.312735,-0.474659,-0.280605
-0.593035,-0.360132,0.307928,0.650996,0.775646,0.310479,-0.471518,-0.282217
-0.593512,-0.359155,0.307128,0.651478,0.778378,0.308182,-0.467401,-0.284056
-0.594389,-0.357361,0.305636,0.652366,0.780996,0.305444,-0.463667,-0.285941
