Martin	// User ID
30-5-2023	// Evaluation date
MP_H_R3	30-5-2023	11:50:42:011	// Source file name and timestamp
100.000	// Sampling rate
34.321	// Data capture period



Sample #	IMU_Q0	IMU_Q1	IMU_Q2	IMU_Q3	Clust_Q0	Clust_Q1	Clust_Q2	Clust_Q3	New_ax_Q0	New_ax_Q1	New_ax_Q2	New_ax_Q3	
64	0.754412	-0.489153	0.168055	0.404166	0.007153	-0.447844	-0.862333	0.236151	0.476565	-0.145434	0.846753	0.186400	
65	0.753536	-0.488457	0.173697	0.404256	0.005243	-0.452787	-0.861330	0.230362	0.482486	-0.140952	0.844058	0.186831	
66	0.752686	-0.487327	0.179034	0.404875	0.003176	-0.457323	-0.859897	0.226765	0.487250	-0.137448	0.842136	0.185750	
67	0.751236	-0.484416	0.189878	0.406119	0.001784	-0.462026	-0.857890	0.224840	0.490824	-0.133843	0.841131	0.183510	
68	0.750208	-0.481786	0.198309	0.407117	0.000742	-0.466404	-0.855689	0.224194	0.493421	-0.130633	0.840741	0.180628	
69	0.749373	-0.479410	0.205299	0.407994	0.000101	0.473651	0.852029	-0.222939	-0.497242	0.124738	-0.840301	-0.176307	
70	0.747616	-0.476133	0.216589	0.409214	0.001595	0.478518	0.849834	-0.220906	-0.500946	0.120977	-0.839147	-0.173926	
71	0.746203	-0.475480	0.221476	0.409936	0.002170	0.484391	0.846599	-0.220524	-0.503627	0.116267	-0.839028	-0.169922	
72	0.743681	-0.476544	0.226189	0.410710	0.005124	0.490021	0.844277	-0.216908	-0.509247	0.112239	-0.836650	-0.167591	
73	0.739616	-0.478483	0.234263	0.411270	0.008290	0.496569	0.841120	-0.214169	-0.514870	0.107758	-0.834542	-0.163819	
74	0.736122	-0.481813	0.239248	0.410780	0.012368	0.503703	0.837501	-0.211474	-0.521207	0.103274	-0.832069	-0.159181	
75	0.733963	-0.483667	0.242575	0.410513	0.014940	0.509233	0.834101	-0.211504	-0.524702	0.100006	-0.831216	-0.154167	
76	0.730758	-0.485256	0.248829	0.410614	0.016914	0.513756	0.830785	-0.213457	-0.526525	0.097758	-0.831340	-0.148620	
77	0.726737	-0.487230	0.256244	0.410851	0.019165	0.518771	0.826771	-0.216701	-0.528036	0.095564	-0.831865	-0.141585	
78	0.724248	-0.488118	0.260365	0.411601	0.019475	0.522818	0.822985	-0.221309	-0.527341	0.093448	-0.833645	-0.134959	
79	0.719529	-0.490268	0.267370	0.412830	0.020447	0.528017	0.818368	-0.225952	-0.527396	0.090687	-0.835142	-0.127150	
80	0.715255	-0.492787	0.273058	0.413534	0.020215	0.531179	0.814540	-0.232304	-0.525158	0.089431	-0.837748	-0.119962	
81	0.712595	-0.495869	0.274722	0.413340	0.021327	0.535519	0.810268	-0.237128	-0.524862	0.087482	-0.839172	-0.112500	
82	0.707251	-0.501892	0.278264	0.412881	0.022996	0.538669	0.806730	-0.241855	-0.524537	0.086840	-0.840321	-0.105737	
83	0.703811	-0.506362	0.279902	0.412193	0.023009	0.540903	0.803157	-0.248664	-0.521831	0.086567	-0.842891	-0.098658	
84	0.700380	-0.512139	0.280212	0.410685	0.024002	0.544196	0.799256	-0.253899	-0.520838	0.085493	-0.844412	-0.091587	
85	0.694961	-0.520390	0.281447	0.408669	0.023706	0.543892	0.797151	-0.261094	-0.516876	0.087330	-0.847224	-0.086165	
86	0.692339	-0.524813	0.281414	0.407485	0.024265	0.545129	0.794212	-0.267344	-0.514390	0.088029	-0.849272	-0.079945	
87	0.687992	-0.532339	0.280671	0.405593	0.023029	0.545927	0.791100	-0.274945	-0.509948	0.088401	-0.852474	-0.073660	
88	0.683303	-0.540037	0.279949	0.403839	0.021903	0.547024	0.787520	-0.283014	-0.505391	0.088638	-0.855733	-0.066664	
89	0.681242	-0.543680	0.278611	0.403356	0.021280	0.548366	0.783752	-0.290818	-0.501318	0.088840	-0.858636	-0.059436	
90	0.676963	-0.551562	0.275606	0.401922	0.020815	0.550666	0.779409	-0.298086	-0.497892	0.088118	-0.861195	-0.051795	
91	0.673045	-0.559977	0.271516	0.399644	0.021445	0.552483	0.775517	-0.304756	-0.495266	0.088280	-0.863096	-0.044529	
92	0.671216	-0.565151	0.268164	0.397695	0.023599	0.555679	0.771100	-0.309949	-0.494761	0.087713	-0.863809	-0.036767	
93	0.669243	-0.569973	0.265690	0.395795	0.025986	0.557204	0.767709	-0.315390	-0.493721	0.088807	-0.864555	-0.029964	
94	0.665533	-0.578656	0.261406	0.392289	0.029981	0.560242	0.763816	-0.319084	-0.495044	0.089047	-0.863993	-0.022761	
95	0.662480	-0.585021	0.258430	0.389980	0.033872	0.561958	0.760328	-0.323969	-0.495225	0.090642	-0.863882	-0.015583	
96	0.658964	-0.590395	0.256796	0.388916	0.038262	0.564283	0.756722	-0.327861	-0.496411	0.091735	-0.863185	-0.008530	
97	0.653050	-0.599262	0.254076	0.387113	0.041457	0.564346	0.753952	-0.333694	-0.495107	0.094583	-0.863666	-0.002061	
98	0.649483	-0.603501	0.253186	0.387111	0.043601	0.563790	0.750913	-0.341129	-0.492070	0.097695	-0.865043	0.004912	
99	0.644343	-0.608201	0.252895	0.388532	0.043887	0.560202	0.749140	-0.350766	-0.485746	0.102922	-0.867954	0.010673	
100	0.637811	-0.614464	0.252139	0.389946	0.043384	0.557693	0.745783	-0.361806	-0.478419	0.106924	-0.871406	0.018295	
101	0.634538	-0.617023	0.251674	0.391541	0.041499	0.553209	0.743112	-0.374194	-0.468829	0.112120	-0.875785	0.025085	
102	0.628687	-0.622162	0.249636	0.394143	0.040333	0.549370	0.739957	-0.386044	-0.460087	0.116941	-0.879545	0.032341	
103	0.624009	-0.627017	0.246763	0.395689	0.040084	0.546679	0.735718	-0.397812	-0.452201	0.121122	-0.882704	0.040950	
104	0.622298	-0.631018	0.241544	0.395245	0.039501	0.543788	0.731722	-0.409045	-0.444295	0.125134	-0.885751	0.048885	
105	0.618564	-0.639004	0.231664	0.394187	0.041128	0.543507	0.725917	-0.419468	-0.438903	0.127791	-0.887430	0.059186	
106	0.616728	-0.644391	0.224285	0.392561	0.043612	0.537781	0.725356	-0.427490	-0.433793	0.135481	-0.888514	0.063333	
107	0.615155	-0.651248	0.214088	0.389393	0.047582	0.536927	0.720844	-0.435693	-0.430868	0.139526	-0.888632	0.072233	
108	0.610993	-0.662478	0.198548	0.385213	0.052551	0.536261	0.717215	-0.441888	-0.429783	0.143636	-0.887851	0.079849	
109	0.606838	-0.671001	0.187638	0.382489	0.060104	0.536594	0.714095	-0.445560	-0.432047	0.147883	-0.885380	0.086999	
110	0.604045	-0.675679	0.182231	0.381288	0.068805	0.537334	0.711100	-0.448190	-0.435708	0.152201	-0.882128	0.094035	
111	0.601412	-0.679463	0.178080	0.380686	0.078424	0.538231	0.708535	-0.449594	-0.440667	0.156667	-0.878163	0.100487	
112	0.596858	-0.685051	0.171998	0.380633	0.089054	0.540423	0.705225	-0.450188	-0.447038	0.160322	-0.873411	0.107738	
113	0.589304	-0.692443	0.164454	0.382359	0.098975	0.540093	0.703068	-0.451884	-0.451514	0.165987	-0.869271	0.113804	
114	0.581097	-0.697983	0.159723	0.386827	0.102551	0.532805	0.702391	-0.460705	-0.445827	0.175515	-0.869725	0.118366	
115	0.575148	-0.700507	0.158418	0.391662	0.108766	0.530904	0.698695	-0.467051	-0.444720	0.181131	-0.868045	0.126149	
116	0.570142	-0.701938	0.158121	0.396509	0.114674	0.529236	0.693951	-0.474544	-0.442720	0.186438	-0.866579	0.135206	
117	0.561395	-0.704040	0.157589	0.405375	0.119424	0.527595	0.688335	-0.483298	-0.439204	0.191184	-0.865734	0.145096	
118	0.555528	-0.705318	0.156918	0.411452	0.121418	0.525217	0.682070	-0.494152	-0.432497	0.195324	-0.866416	0.155300	
