Martin	// User ID
30-5-2023	// Evaluation date
MP_H_R5	30-5-2023	11:55:06:943	// Source file name and timestamp
100.000	// Sampling rate
33.156	// Data capture period



Sample #	IMU_Q0	IMU_Q1	IMU_Q2	IMU_Q3	Clust_Q0	Clust_Q1	Clust_Q2	Clust_Q3	New_ax_Q0	New_ax_Q1	New_ax_Q2	New_ax_Q3	
68	0.417756	-0.802526	0.162464	0.393747	0.194541	0.598971	0.569136	-0.528652	-0.464808	0.159940	-0.818552	0.297230	
69	0.411544	-0.799771	0.165067	0.404662	0.196042	0.596408	0.566978	-0.533292	-0.461647	0.163241	-0.818319	0.300980	
70	0.407722	-0.798361	0.166359	0.410739	0.197139	0.594661	0.565114	-0.536806	-0.459255	0.165507	-0.818090	0.304008	
71	0.402108	-0.797567	0.166907	0.417538	0.198977	0.592615	0.563296	-0.540290	-0.457178	0.168391	-0.817483	0.307171	
72	0.394741	-0.796597	0.167260	0.426188	0.203700	0.591562	0.561101	-0.541966	-0.458024	0.171501	-0.814936	0.310935	
73	0.391845	-0.797150	0.166034	0.428301	0.209319	0.590583	0.559330	-0.542722	-0.459985	0.174908	-0.811823	0.314267	
74	0.387369	-0.798613	0.163072	0.430779	0.218487	0.591173	0.557418	-0.540428	-0.466185	0.178201	-0.806187	0.317771	
75	0.383446	-0.799941	0.160287	0.432864	0.231912	0.590501	0.557588	-0.535370	-0.476144	0.184516	-0.798190	0.319583	
76	0.381845	-0.801437	0.157769	0.432437	0.245832	0.590860	0.558071	-0.528212	-0.487941	0.189829	-0.789407	0.320494	
77	0.377518	-0.803573	0.153903	0.433663	0.261327	0.590882	0.559351	-0.519319	-0.501493	0.195927	-0.779409	0.320372	
78	0.374151	-0.804230	0.152322	0.435916	0.276546	0.590556	0.560415	-0.510588	-0.514532	0.202056	-0.769336	0.320237	
79	0.369691	-0.803052	0.152842	0.441673	0.292396	0.590042	0.562099	-0.500399	-0.528655	0.208371	-0.758504	0.319026	
80	0.362852	-0.800948	0.153705	0.450773	0.309172	0.588430	0.564036	-0.489924	-0.542926	0.215890	-0.746891	0.317453	
81	0.359036	-0.797837	0.156311	0.458384	0.327404	0.585864	0.566387	-0.478305	-0.558152	0.224574	-0.733968	0.315158	
82	0.352207	-0.790903	0.162291	0.473376	0.341176	0.582622	0.568852	-0.469637	-0.569117	0.232250	-0.724180	0.312618	
83	0.342721	-0.780898	0.170186	0.493738	0.352995	0.580799	0.569803	-0.461943	-0.578749	0.237692	-0.715294	0.311299	
84	0.336205	-0.772131	0.176754	0.509448	0.364691	0.579815	0.570775	-0.452804	-0.589361	0.242023	-0.705966	0.309337	
85	0.332161	-0.766397	0.180506	0.519348	0.372866	0.576261	0.573874	-0.446725	-0.595905	0.247886	-0.699991	0.305716	
86	0.325590	-0.756629	0.186255	0.535550	0.385414	0.575866	0.575008	-0.434971	-0.608470	0.251443	-0.689184	0.302598	
87	0.319097	-0.746386	0.191972	0.551572	0.393100	0.573446	0.578126	-0.427086	-0.616080	0.255668	-0.682811	0.298074	
88	0.316273	-0.741070	0.194538	0.559411	0.401153	0.570898	0.580890	-0.419188	-0.623717	0.260040	-0.676027	0.293843	
89	0.310955	-0.730410	0.199668	0.574405	0.409301	0.568574	0.583146	-0.411264	-0.631365	0.264116	-0.668967	0.290007	
90	0.307367	-0.722434	0.203506	0.584979	0.418425	0.565080	0.585858	-0.402958	-0.639264	0.269515	-0.661151	0.285627	
91	0.306138	-0.716970	0.206270	0.591342	0.427708	0.561898	0.588465	-0.393758	-0.647752	0.274441	-0.652822	0.280933	
92	0.303183	-0.706348	0.211425	0.603698	0.436652	0.558884	0.590826	-0.384588	-0.656025	0.278983	-0.644550	0.276325	
93	0.301902	-0.700573	0.214103	0.610093	0.445852	0.556327	0.592907	-0.374403	-0.665014	0.282907	-0.635607	0.271521	
94	0.300162	-0.693019	0.217146	0.618445	0.453462	0.553267	0.595706	-0.365243	-0.672594	0.286889	-0.628083	0.266128	
95	0.297271	-0.682633	0.221178	0.629859	0.461423	0.549640	0.598584	-0.355924	-0.680157	0.291396	-0.620164	0.260521	
96	0.295778	-0.677121	0.223222	0.635763	0.467174	0.547472	0.601071	-0.347473	-0.686706	0.293900	-0.613888	0.255341	
97	0.292768	-0.665951	0.227329	0.647392	0.471149	0.546058	0.603054	-0.340829	-0.691695	0.295387	-0.609287	0.251145	
98	0.289271	-0.652211	0.232333	0.661033	0.475411	0.543724	0.605804	-0.333691	-0.696809	0.297727	-0.604409	0.245978	
99	0.287425	-0.643422	0.235545	0.669263	0.478862	0.541453	0.608990	-0.326574	-0.701611	0.299743	-0.600134	0.240279	
100	0.286513	-0.637319	0.237765	0.674686	0.480301	0.539077	0.612542	-0.321713	-0.704357	0.301645	-0.598078	0.234933	
101	0.285267	-0.626729	0.241631	0.683702	0.482313	0.537672	0.615457	-0.315429	-0.708339	0.302501	-0.594985	0.229656	
102	0.284499	-0.618059	0.244798	0.690751	0.482604	0.535531	0.619466	-0.310744	-0.710610	0.303843	-0.593827	0.223791	
103	0.284890	-0.613360	0.246596	0.694131	0.481708	0.533423	0.624257	-0.306137	-0.712424	0.304821	-0.593646	0.217073	
104	0.285546	-0.604082	0.249969	0.700760	0.480258	0.531449	0.628689	-0.302761	-0.713355	0.305712	-0.594205	0.211152	
105	0.286551	-0.598765	0.251760	0.704262	0.477058	0.529444	0.634353	-0.299501	-0.713596	0.306146	-0.596223	0.203896	
106	0.289265	-0.594385	0.253004	0.706415	0.474543	0.527954	0.639467	-0.295223	-0.714753	0.306062	-0.597269	0.196784	
107	0.293117	-0.586802	0.255209	0.710362	0.471133	0.526749	0.644980	-0.290810	-0.715721	0.305397	-0.598925	0.189115	
108	0.295937	-0.583523	0.255911	0.711640	0.467541	0.526264	0.650125	-0.285988	-0.717014	0.303889	-0.600471	0.181596	
109	0.301399	-0.578447	0.256749	0.713188	0.463723	0.525553	0.655335	-0.281586	-0.717898	0.302570	-0.602290	0.174128	
110	0.307067	-0.572750	0.257799	0.714988	0.459883	0.524647	0.660433	-0.277635	-0.718437	0.301481	-0.604231	0.166922	
111	0.311061	-0.570024	0.258449	0.715204	0.457201	0.522728	0.665339	-0.273945	-0.718937	0.301702	-0.605378	0.160071	
112	0.318998	-0.564274	0.260206	0.715631	0.454780	0.520055	0.670586	-0.270245	-0.719295	0.302669	-0.606337	0.152843	
113	0.324692	-0.560090	0.261833	0.715764	0.453548	0.517244	0.675139	-0.266344	-0.720134	0.304055	-0.606261	0.146305	
114	0.329791	-0.556803	0.263563	0.715362	0.452169	0.514920	0.679239	-0.262746	-0.720873	0.304989	-0.606324	0.140336	
115	0.339466	-0.550138	0.266039	0.715076	0.451155	0.512470	0.683668	-0.257744	-0.722440	0.305824	-0.605602	0.133409	
116	0.347107	-0.544636	0.267157	0.715203	0.450270	0.510498	0.687280	-0.253565	-0.723736	0.306418	-0.604988	0.127683	
