Martin	// User ID
7-7-2023	// Evaluation date
CON_HO_R4	7-7-2023	09:54:47:055	// Source file name and timestamp
100.000	// Sampling rate
33.360	// Data capture period



Sample #	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU4_Q0	IMU4_Q1	IMU4_Q2	IMU4_Q3	OpTr_Q0	OpTr_Q1	OpTr_Q2	OpTr_Q3	NewAx_Q0	NewAx_Q1	NewAx_Q2	NewAx_Q3	
69	0.232511	-0.006694	-0.015326	-0.972450	0.193514	-0.001680	-0.024025	-0.980802	0.246257	-0.007159	-0.026895	-0.968805	0.250378	0.006930	-0.024402	-0.967816	0.998528	-0.020420	-0.049865	0.006260	0.621817	-0.592510	-0.365893	-0.358326	
70	0.232473	-0.006663	-0.015354	-0.972459	0.193504	-0.001675	-0.024032	-0.980804	0.246363	-0.007172	-0.026885	-0.968778	0.250296	0.006910	-0.024449	-0.967836	0.998525	-0.020510	-0.049889	0.006211	0.621737	-0.592574	-0.365909	-0.358342	
71	0.232610	-0.006679	-0.015380	-0.972426	0.193543	-0.001661	-0.024018	-0.980796	0.246438	-0.007187	-0.026882	-0.968759	0.250228	0.006894	-0.024470	-0.967853	0.998522	-0.020598	-0.049912	0.006254	0.621689	-0.592608	-0.365979	-0.358299	
72	0.232680	-0.006684	-0.015410	-0.972408	0.193647	-0.001658	-0.024026	-0.980776	0.246428	-0.007190	-0.026872	-0.968762	0.250139	0.006896	-0.024458	-0.967876	0.998521	-0.020540	-0.049941	0.006235	0.621708	-0.592566	-0.365967	-0.358347	
73	0.232672	-0.006676	-0.015405	-0.972410	0.193731	-0.001664	-0.024051	-0.980759	0.246409	-0.007189	-0.026859	-0.968767	0.250095	0.006905	-0.024445	-0.967888	0.998524	-0.020530	-0.049887	0.006235	0.621734	-0.592580	-0.365929	-0.358319	
74	0.232719	-0.006693	-0.015357	-0.972400	0.193719	-0.001663	-0.024062	-0.980761	0.246424	-0.007188	-0.026858	-0.968763	0.250176	0.006903	-0.024445	-0.967867	0.998528	-0.020400	-0.049864	0.006215	0.621814	-0.592512	-0.365860	-0.358362	
75	0.232698	-0.006699	-0.015364	-0.972405	0.193685	-0.001647	-0.024060	-0.980767	0.246307	-0.007168	-0.026862	-0.968793	0.250244	0.006888	-0.024438	-0.967850	0.998526	-0.020466	-0.049890	0.006233	0.621771	-0.592539	-0.365908	-0.358343	
76	0.232667	-0.006694	-0.015378	-0.972412	0.193669	-0.001627	-0.024057	-0.980771	0.246217	-0.007148	-0.026865	-0.968816	0.250238	0.006898	-0.024484	-0.967850	0.998524	-0.020484	-0.049924	0.006222	0.621744	-0.592541	-0.365929	-0.358365	
77	0.232655	-0.006697	-0.015370	-0.972415	0.193637	-0.001615	-0.024046	-0.980777	0.246208	-0.007150	-0.026876	-0.968818	0.250231	0.006925	-0.024539	-0.967850	0.998526	-0.020428	-0.049895	0.006236	0.621794	-0.592512	-0.365901	-0.358356	
78	0.232589	-0.006707	-0.015371	-0.972430	0.193572	-0.001612	-0.024028	-0.980790	0.246156	-0.007168	-0.026895	-0.968830	0.250273	0.006935	-0.024527	-0.967840	0.998522	-0.020582	-0.049920	0.006213	0.621683	-0.592608	-0.365954	-0.358335	
79	0.232459	-0.006702	-0.015372	-0.972462	0.193546	-0.001611	-0.024041	-0.980795	0.246068	-0.007166	-0.026888	-0.968853	0.250247	0.006965	-0.024550	-0.967846	0.998532	-0.020384	-0.049806	0.006092	0.621804	-0.592563	-0.365744	-0.358413	
80	0.232350	-0.006696	-0.015370	-0.972488	0.193534	-0.001615	-0.024059	-0.980797	0.245941	-0.007165	-0.026880	-0.968886	0.250216	0.006998	-0.024583	-0.967853	0.998520	-0.020559	-0.049943	0.006356	0.621736	-0.592538	-0.366047	-0.358263	
81	0.232338	-0.006701	-0.015367	-0.972491	0.193488	-0.001617	-0.024061	-0.980806	0.245845	-0.007176	-0.026883	-0.968910	0.250226	0.007005	-0.024604	-0.967849	0.998525	-0.020353	-0.049942	0.006349	0.621860	-0.592410	-0.365973	-0.358336	
82	0.232406	-0.006708	-0.015365	-0.972474	0.193397	-0.001605	-0.024064	-0.980824	0.245873	-0.007179	-0.026883	-0.968903	0.250225	0.006990	-0.024643	-0.967849	0.998524	-0.020586	-0.049877	0.006219	0.621698	-0.592624	-0.365932	-0.358305	
83	0.232442	-0.006704	-0.015364	-0.972466	0.193264	-0.001606	-0.024077	-0.980850	0.245909	-0.007176	-0.026884	-0.968893	0.250212	0.006983	-0.024643	-0.967852	0.998522	-0.020429	-0.049960	0.006412	0.621829	-0.592431	-0.366047	-0.358279	
84	0.232425	-0.006720	-0.015371	-0.972470	0.193182	-0.001606	-0.024093	-0.980866	0.245861	-0.007171	-0.026846	-0.968907	0.250192	0.006970	-0.024629	-0.967858	0.998524	-0.020538	-0.049893	0.006200	0.621714	-0.592594	-0.365915	-0.358342	
