Martin	// User ID
7-7-2023	// Evaluation date
COM_MP_R5	7-7-2023	10:13:38:491	// Source file name and timestamp
100.000	// Sampling rate
36.026	// Data capture period



Sample #	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU4_Q0	IMU4_Q1	IMU4_Q2	IMU4_Q3	OpTr_Q0	OpTr_Q1	OpTr_Q2	OpTr_Q3	NewAx_Q0	NewAx_Q1	NewAx_Q2	NewAx_Q3	
44	0.609825	-0.003649	0.029980	0.791961	0.601437	-0.010222	0.033346	0.798159	0.597513	-0.013399	0.037904	0.800851	0.605489	-0.018901	0.025783	0.795211	0.672034	-0.009842	0.739787	0.031433	0.680120	-0.650083	0.240667	0.238553	
45	0.609876	-0.003632	0.029995	0.791920	0.601477	-0.010228	0.033344	0.798129	0.597562	-0.013386	0.037901	0.800815	0.605492	-0.018891	0.025774	0.795209	0.671999	-0.009865	0.739826	0.031269	0.680040	-0.650143	0.240794	0.238489	
46	0.609904	-0.003608	0.029999	0.791899	0.601526	-0.010241	0.033339	0.798092	0.597584	-0.013375	0.037865	0.800800	0.605462	-0.018892	0.025769	0.795232	0.672022	-0.009845	0.739797	0.031463	0.680124	-0.650072	0.240658	0.238584	
47	0.609947	-0.003604	0.029998	0.791866	0.601555	-0.010252	0.033348	0.798069	0.597634	-0.013376	0.037843	0.800764	0.605434	-0.018877	0.025759	0.795255	0.671963	-0.009768	0.739853	0.031437	0.680141	-0.650013	0.240755	0.238596	
48	0.610001	-0.003594	0.029999	0.791825	0.601525	-0.010250	0.033368	0.798091	0.597680	-0.013377	0.037858	0.800729	0.605435	-0.018848	0.025750	0.795255	0.671965	-0.009848	0.739852	0.031388	0.680077	-0.650082	0.240756	0.238589	
49	0.610003	-0.003534	0.030005	0.791823	0.601463	-0.010244	0.033375	0.798137	0.597651	-0.013364	0.037871	0.800750	0.605436	-0.018835	0.025760	0.795254	0.672031	-0.009840	0.739790	0.031434	0.680121	-0.650081	0.240670	0.238555	
50	0.610007	-0.003526	0.030023	0.791819	0.601463	-0.010235	0.033368	0.798138	0.597652	-0.013360	0.037873	0.800749	0.605445	-0.018832	0.025760	0.795247	0.672016	-0.009842	0.739813	0.031213	0.680042	-0.650153	0.240820	0.238432	
51	0.610024	-0.003552	0.030035	0.791805	0.601499	-0.010231	0.033362	0.798111	0.597676	-0.013369	0.037878	0.800731	0.605450	-0.018836	0.025749	0.795244	0.671979	-0.009877	0.739837	0.031428	0.680078	-0.650092	0.240708	0.238610	
52	0.610064	-0.003553	0.030032	0.791775	0.601512	-0.010223	0.033362	0.798101	0.597683	-0.013379	0.037881	0.800725	0.605435	-0.018840	0.025744	0.795255	0.671960	-0.009817	0.739859	0.031330	0.680075	-0.650081	0.240808	0.238546	
53	0.610152	-0.003552	0.030038	0.791707	0.601505	-0.010196	0.033353	0.798107	0.597696	-0.013378	0.037870	0.800716	0.605412	-0.018833	0.025745	0.795273	0.671963	-0.009868	0.739852	0.031433	0.680079	-0.650079	0.240723	0.238625	
54	0.610173	-0.003565	0.030038	0.791690	0.601507	-0.010197	0.033343	0.798106	0.597721	-0.013392	0.037860	0.800698	0.605379	-0.018812	0.025737	0.795299	0.672029	-0.009847	0.739796	0.031345	0.680086	-0.650115	0.240725	0.238505	
55	0.610132	-0.003576	0.030035	0.791722	0.601463	-0.010202	0.033343	0.798139	0.597741	-0.013405	0.037865	0.800683	0.605367	-0.018794	0.025736	0.795308	0.672046	-0.009817	0.739778	0.031404	0.680130	-0.650081	0.240683	0.238517	
56	0.610100	-0.003577	0.030039	0.791747	0.601376	-0.010168	0.033356	0.798205	0.597755	-0.013409	0.037877	0.800671	0.605377	-0.018791	0.025751	0.795300	0.671921	-0.009787	0.739889	0.031480	0.680128	-0.650000	0.240760	0.238665	
57	0.610082	-0.003587	0.030044	0.791761	0.601356	-0.010123	0.033376	0.798219	0.597780	-0.013432	0.037878	0.800652	0.605360	-0.018791	0.025755	0.795313	0.672047	-0.009878	0.739775	0.031421	0.680099	-0.650115	0.240649	0.238545	
58	0.610071	-0.003615	0.030042	0.791769	0.601333	-0.010112	0.033424	0.798235	0.597784	-0.013438	0.037883	0.800649	0.605365	-0.018800	0.025745	0.795309	0.671998	-0.009806	0.739821	0.031405	0.680120	-0.650060	0.240730	0.238556	
59	0.610134	-0.003644	0.030028	0.791720	0.601292	-0.010112	0.033463	0.798265	0.597792	-0.013409	0.037901	0.800643	0.605374	-0.018800	0.025741	0.795302	0.672020	-0.009823	0.739802	0.031401	0.680116	-0.650078	0.240707	0.238539	
60	0.610270	-0.003653	0.030013	0.791617	0.601266	-0.010098	0.033466	0.798284	0.597827	-0.013376	0.037919	0.800616	0.605351	-0.018781	0.025757	0.795320	0.672010	-0.009814	0.739813	0.031343	0.680099	-0.650089	0.240754	0.238510	
61	0.610313	-0.003651	0.030014	0.791583	0.601222	-0.010110	0.033480	0.798316	0.597847	-0.013383	0.037921	0.800601	0.605339	-0.018771	0.025774	0.795329	0.672004	-0.009855	0.739815	0.031421	0.680097	-0.650088	0.240697	0.238576	
62	0.610235	-0.003649	0.030025	0.791643	0.601197	-0.010124	0.033490	0.798334	0.597880	-0.013393	0.037909	0.800577	0.605335	-0.018769	0.025765	0.795333	0.671883	-0.009789	0.739923	0.031498	0.680119	-0.649984	0.240783	0.238711	
63	0.610138	-0.003669	0.030048	0.791717	0.601166	-0.010137	0.033487	0.798358	0.597935	-0.013394	0.037897	0.800536	0.605298	-0.018772	0.025755	0.795361	0.672031	-0.009808	0.739793	0.031391	0.680126	-0.650075	0.240708	0.238519	
64	0.610117	-0.003706	0.030074	0.791732	0.601091	-0.010153	0.033485	0.798414	0.597990	-0.013403	0.037893	0.800495	0.605243	-0.018781	0.025772	0.795402	0.671931	-0.009795	0.739881	0.031444	0.680116	-0.650019	0.240770	0.238636	
65	0.610156	-0.003713	0.030065	0.791702	0.601038	-0.010142	0.033480	0.798454	0.598037	-0.013403	0.037892	0.800460	0.605261	-0.018783	0.025771	0.795388	0.671911	-0.009832	0.739898	0.031456	0.680090	-0.650034	0.240768	0.238673	
66	0.610217	-0.003699	0.030061	0.791655	0.601013	-0.010132	0.033461	0.798474	0.598044	-0.013390	0.037884	0.800455	0.605322	-0.018770	0.025772	0.795342	0.672026	-0.009863	0.739796	0.031396	0.680092	-0.650107	0.240690	0.238544	
67	0.610288	-0.003697	0.030061	0.791601	0.600985	-0.010139	0.033443	0.798496	0.598030	-0.013374	0.037887	0.800466	0.605352	-0.018750	0.025773	0.795320	0.672056	-0.009821	0.739766	0.031484	0.680157	-0.650059	0.240623	0.238559	
68	0.610366	-0.003714	0.030033	0.791541	0.600929	-0.010149	0.033458	0.798537	0.598044	-0.013357	0.037906	0.800455	0.605334	-0.018745	0.025759	0.795334	0.672047	-0.009731	0.739764	0.031744	0.680293	-0.649911	0.240499	0.238701	
69	0.610433	-0.003726	0.030020	0.791490	0.600843	-0.010165	0.033508	0.798600	0.598085	-0.013327	0.037896	0.800425	0.605334	-0.018753	0.025758	0.795333	0.672060	-0.009719	0.739752	0.031747	0.680305	-0.649906	0.240490	0.238687	
70	0.610481	-0.003736	0.030015	0.791453	0.600794	-0.010169	0.033512	0.798636	0.598091	-0.013294	0.037885	0.800422	0.605340	-0.018759	0.025760	0.795329	0.672040	-0.009732	0.739770	0.031749	0.680292	-0.649907	0.240502	0.238710	
71	0.610495	-0.003762	0.030005	0.791443	0.600799	-0.010162	0.033473	0.798634	0.598047	-0.013277	0.037879	0.800455	0.605334	-0.018764	0.025751	0.795334	0.672014	-0.009693	0.739808	0.031404	0.680193	-0.649992	0.240754	0.238506	
72	0.610476	-0.003795	0.030003	0.791457	0.600819	-0.010169	0.033471	0.798620	0.598008	-0.013276	0.037860	0.800485	0.605313	-0.018773	0.025748	0.795349	0.671977	-0.009657	0.739813	0.032093	0.680427	-0.649725	0.240369	0.238957	
73	0.610494	-0.003782	0.030004	0.791443	0.600875	-0.010173	0.033459	0.798578	0.598016	-0.013272	0.037867	0.800479	0.605234	-0.018761	0.025762	0.795409	0.672004	-0.009601	0.739785	0.032196	0.680503	-0.649662	0.240299	0.238980	
74	0.610545	-0.003795	0.030026	0.791403	0.600936	-0.010168	0.033445	0.798533	0.598001	-0.013280	0.037888	0.800489	0.605206	-0.018747	0.025774	0.795430	0.671886	-0.009801	0.739907	0.031791	0.680209	-0.649894	0.240592	0.238894	
75	0.610597	-0.003831	0.030051	0.791362	0.600979	-0.010162	0.033447	0.798500	0.597975	-0.013301	0.037894	0.800508	0.605231	-0.018745	0.025788	0.795411	0.672138	-0.009981	0.739716	0.030851	0.679883	-0.650400	0.240888	0.238143	
76	0.610637	-0.003801	0.030034	0.791332	0.601021	-0.010170	0.033453	0.798468	0.598029	-0.013303	0.037890	0.800468	0.605178	-0.018742	0.025823	0.795451	0.672049	-0.009711	0.739761	0.031791	0.680321	-0.649883	0.240475	0.238723	
77	0.610661	-0.003808	0.030024	0.791314	0.601028	-0.010197	0.033474	0.798462	0.598050	-0.013283	0.037918	0.800451	0.605155	-0.018740	0.025840	0.795467	0.672061	-0.009769	0.739758	0.031568	0.680218	-0.649999	0.240583	0.238590	
78	0.610674	-0.003831	0.030022	0.791303	0.601070	-0.010216	0.033487	0.798429	0.598022	-0.013265	0.037951	0.800471	0.605184	-0.018740	0.025841	0.795446	0.672067	-0.009764	0.739754	0.031529	0.680210	-0.650010	0.240604	0.238559	
79	0.610690	-0.003811	0.029999	0.791292	0.601148	-0.010214	0.033479	0.798370	0.597986	-0.013277	0.037969	0.800497	0.605219	-0.018735	0.025839	0.795419	0.672098	-0.009602	0.739719	0.031744	0.680389	-0.649842	0.240497	0.238615	
80	0.610711	-0.003789	0.029958	0.791278	0.601144	-0.010220	0.033479	0.798373	0.597932	-0.013313	0.037991	0.800536	0.605263	-0.018726	0.025823	0.795386	0.672096	-0.009957	0.739722	0.031608	0.680130	-0.650116	0.240461	0.238644	
81	0.610722	-0.003789	0.029954	0.791269	0.601119	-0.010266	0.033494	0.798391	0.597848	-0.013313	0.037978	0.800599	0.605308	-0.018736	0.025809	0.795352	0.672087	-0.009950	0.739729	0.031647	0.680143	-0.650096	0.240447	0.238675	
82	0.610726	-0.003795	0.029952	0.791266	0.601101	-0.010290	0.033517	0.798403	0.597800	-0.013303	0.037960	0.800636	0.605363	-0.018723	0.025803	0.795311	0.672051	-0.010046	0.739766	0.031494	0.680023	-0.650199	0.240542	0.238641	
83	0.610719	-0.003794	0.029928	0.791273	0.601072	-0.010265	0.033534	0.798425	0.597819	-0.013309	0.037964	0.800621	0.605415	-0.018685	0.025798	0.795272	0.672022	-0.009875	0.739787	0.031690	0.680180	-0.650014	0.240505	0.238735	
84	0.610687	-0.003793	0.029932	0.791297	0.601046	-0.010268	0.033535	0.798445	0.597836	-0.013294	0.037944	0.800610	0.605427	-0.018697	0.025789	0.795263	0.672031	-0.009756	0.739782	0.031638	0.680238	-0.649958	0.240571	0.238656	
85	0.610695	-0.003781	0.029947	0.791290	0.601059	-0.010276	0.033531	0.798435	0.597817	-0.013285	0.037938	0.800624	0.605435	-0.018698	0.025780	0.795257	0.672078	-0.009746	0.739743	0.031551	0.680232	-0.649995	0.240586	0.238557	
86	0.610720	-0.003764	0.029952	0.791271	0.601117	-0.010280	0.033525	0.798392	0.597765	-0.013287	0.037951	0.800662	0.605438	-0.018684	0.025777	0.795256	0.672065	-0.009712	0.739751	0.031666	0.680285	-0.649930	0.240538	0.238631	
87	0.610732	-0.003762	0.029955	0.791261	0.601187	-0.010291	0.033506	0.798339	0.597722	-0.013280	0.037957	0.800694	0.605422	-0.018693	0.025779	0.795267	0.672036	-0.009758	0.739779	0.031606	0.680228	-0.649971	0.240585	0.238633	
88	0.610787	-0.003774	0.029968	0.791219	0.601223	-0.010286	0.033479	0.798314	0.597750	-0.013271	0.037960	0.800673	0.605435	-0.018706	0.025787	0.795257	0.672034	-0.009660	0.739778	0.031708	0.680319	-0.649873	0.240557	0.238668	
89	0.610793	-0.003774	0.029947	0.791215	0.601223	-0.010293	0.033462	0.798314	0.597807	-0.013269	0.037957	0.800631	0.605474	-0.018714	0.025802	0.795227	0.672022	-0.009765	0.739788	0.031679	0.680243	-0.649947	0.240550	0.238693	
